"genAge","word","n"
"Men, 20-24","hair",8
"Men, 20-24","harmful",8
"Men, 20-24","hospital",8
"Men, 20-24","interfere",8
"Men, 20-24","offer",8
"Men, 20-24","physical",8
"Men, 20-24","prefer",8
"Men, 20-24","protective",8
"Men, 20-24","pus",8
"Men, 20-24","realise",8
"Men, 20-24","spot",8
"Men, 20-24","style",8
"Men, 20-24","vaginal",8
"Men, 20-24","visit",8
"Men, 20-24","vomit",8
"Men, 20-24","women's",8
"Men, 20-24","worry",8
"Men, 25-35","burst",8
"Men, 25-35","circumcision",8
"Men, 25-35","diet",8
"Men, 25-35","dnt",8
"Men, 25-35","effective",8
"Men, 25-35","expire",8
"Men, 25-35","female condoms",8
"Men, 25-35","fibroid",8
"Men, 25-35","itch",8
"Men, 25-35","miscarriage",8
"Men, 25-35","pep",8
"Men, 25-35","plan",8
"Men, 25-35","private",8
"Men, 25-35","quiz",8
"Men, 25-35","reproduction",8
"Men, 25-35","response",8
"Men, 25-35","result",8
"Men, 25-35","spend",8
"Men, 25-35","stage",8
"Men, 25-35","tear",8
"Men, 25-35","vagina",8
"Men, 36+","family planning",8
"Men, 36+","prostate",8
"Men, 15-19","advantage",7
"Men, 15-19","afraid",7
"Men, 15-19","complain",7
"Men, 15-19","deal",7
"Men, 15-19","desire",7
"Men, 15-19","discharge",7
"Men, 15-19","hear",7
"Men, 15-19","incase",7
"Men, 15-19","learn",7
"Men, 15-19","menopause",7
"Men, 15-19","reproductive",7
"Men, 15-19","risk",7
"Men, 15-19","round",7
"Men, 15-19","school",7
"Men, 15-19","size",7
"Men, 15-19","skin",7
"Men, 15-19","sti's",7
"Men, 15-19","stress",7
"Men, 15-19","touch",7
"Men, 15-19","wait",7
"Men, 20-24","cheat",7
"Men, 20-24","clot",7
"Men, 20-24","contraseptives",7
"Men, 20-24","convince",7
"Men, 20-24","copulation",7
"Men, 20-24","cum",7
"Men, 20-24","damage",7
"Men, 20-24","dangerous",7
"Men, 20-24","death",7
"Men, 20-24","deliver",7
"Men, 20-24","determine",7
"Men, 20-24","due",7
"Men, 20-24","dysfunction",7
"Men, 20-24","enter",7
"Men, 20-24","everyday",7
"Men, 20-24","fistula",7
"Men, 20-24","follow",7
"Men, 20-24","god",7
"Men, 20-24","goodnight",7
"Men, 20-24","headache",7
"Men, 20-24","helpful",7
"Men, 20-24","irregular",7
"Men, 20-24","numb",7
"Men, 20-24","office",7
"Men, 20-24","power",7
"Men, 20-24","previous",7
"Men, 20-24","realy",7
"Men, 20-24","refuse",7
"Men, 20-24","relation",7
"Men, 20-24","remain",7
"Men, 20-24","request",7
"Men, 20-24","rest",7
"Men, 20-24","safety",7
"Men, 20-24","scream",7
"Men, 20-24","seek",7
"Men, 20-24","sensitive",7
"Men, 20-24","sickness",7
"Men, 20-24","siphilis",7
"Men, 20-24","testicle",7
"Men, 20-24","treatable",7
"Men, 20-24","twin",7
"Men, 20-24","ulcer",7
"Men, 20-24","undergo",7
"Men, 20-24","weak",7
"Men, 20-24","wear",7
"Men, 20-24","wht",7
"Men, 20-24","yeast",7
"Men, 25-35","abdominal",7
"Men, 25-35","advantage",7
"Men, 25-35","balance",7
"Men, 25-35","common",7
"Men, 25-35","concern",7
"Men, 25-35","detect",7
"Men, 25-35","fail",7
"Men, 25-35","infected",7
"Men, 25-35","irregular",7
"Men, 25-35","kisumu",7
"Men, 25-35","maintain",7
"Men, 25-35","measure",7
"Men, 25-35","medication",7
"Men, 25-35","medicine",7
"Men, 25-35","nice",7
"Men, 25-35","occur",7
"Men, 25-35","recommend",7
"Men, 25-35","reproductive",7
"Men, 25-35","scrotum",7
"Men, 25-35","suppose",7
"Men, 25-35","unprotected sex",7
"Men, 25-35","wait",7
"Men, 15-19","abortion",6
"Men, 15-19","awoman",6
"Men, 15-19","boost",6
"Men, 15-19","break",6
"Men, 15-19","contact",6
"Men, 15-19","dick",6
"Men, 15-19","easily",6
"Men, 15-19","enlarge",6
"Men, 15-19","erection",6
"Men, 15-19","fear",6
"Men, 15-19","hare",6
"Men, 15-19","human",6
"Men, 15-19","hv",6
"Men, 15-19","injection",6
"Men, 15-19","involve",6
"Men, 15-19","irregular",6
"Men, 15-19","late",6
"Men, 15-19","loose",6
"Men, 15-19","meet",6
"Men, 15-19","mother",6
"Men, 15-19","occur",6
"Men, 15-19","overcome",6
"Men, 15-19","pass",6
"Men, 15-19","play",6
"Men, 15-19","possibility",6
"Men, 15-19","ready",6
"Men, 15-19","recommend",6
"Men, 15-19","reproduction",6
"Men, 15-19","response",6
"Men, 15-19","service",6
"Men, 15-19","smell",6
"Men, 15-19","stay",6
"Men, 15-19","system",6
"Men, 15-19","women's",6
"Men, 20-24","accidentally",6
"Men, 20-24","allergic",6
"Men, 20-24","anal",6
"Men, 20-24","arise",6
"Men, 20-24","attract",6
"Men, 20-24","awoman",6
"Men, 20-24","balance",6
"Men, 20-24","coitus",6
"Men, 20-24","complication",6
"Men, 20-24","cramp",6
"Men, 20-24","deal",6
"Men, 20-24","develop",6
"Men, 20-24","diaphragm",6
"Men, 20-24","easy",6
"Men, 20-24","expect",6
"Men, 20-24","finish",6
"Men, 20-24","flow",6
"Men, 20-24","foetus",6
"Men, 20-24","glad",6
"Men, 20-24","hes",6
"Men, 20-24","ill",6
"Men, 20-24","impact",6
"Men, 20-24","inactive",6
"Men, 20-24","intercose",6
"Men, 20-24","kill",6
"Men, 20-24","likewise",6
"Men, 20-24","men's",6
"Men, 20-24","mention",6
"Men, 20-24","message",6
"Men, 20-24","mustabation",6
"Men, 20-24","myth",6
"Men, 20-24","nipple",6
"Men, 20-24","oil",6
"Men, 20-24","option",6
"Men, 20-24","organization",6
"Men, 20-24","overcome",6
"Men, 20-24","pass",6
"Men, 20-24","patient",6
"Men, 20-24","pay",6
"Men, 20-24","pennis",6
"Men, 20-24","perfect",6
"Men, 20-24","pit",6
"Men, 20-24","post",6
"Men, 20-24","pregnance",6
"Men, 20-24","satisfaction",6
"Men, 20-24","scrotum",6
"Men, 20-24","sexuality",6
"Men, 20-24","shy",6
"Men, 20-24","single",6
"Men, 20-24","student",6
"Men, 20-24","survive",6
"Men, 20-24","sweat",6
"Men, 20-24","teenage",6
"Men, 20-24","text",6
"Men, 20-24","throat",6
"Men, 20-24","unborn",6
"Men, 20-24","urinary",6
"Men, 20-24","vigina",6
"Men, 20-24","wart",6
