word,n,rename,group with,topic,notes
provera,22,,,,
research,22,,,,
sharp,22,,,,
stand,22,,,,
swallow,22,,,,
viginal,22,,,,
ward,22,,,,
cervix,21,,,,
cold,21,,,,
cream,21,,,,
cut,21,,,,
difficult,21,,,,
difficulty,21,,,,
educate,21,,,,
gani,21,,,,
geting,21,,,,
heart,21,,,,
include,21,,,,
inplant,21,,,,
major,21,,,,
mouth,21,,,,
odour,21,,,,
perform,21,,,,
postinor,21,,,,
production,21,,,,
reliable,21,,,,
romance,21,,,,
solve,21,,,,
specifically,21,,,,
sunday,21,,,,
thrice,21,,,,
tract,21,,,,
transmited,21,infected,,,
urethra,21,,,,
usual,21,,,,
wake,21,,,,
bacterial,20,,,,
class,20,,,,
close,20,,,,
death,20,,,,
erectile,20,,,,
gonorhea,20,gonorrhea,,,
hygiene,20,,,,
implantation,20,,,,
intercouse,20,,,,
level,20,,,,
mate,20,,,,
menstral,20,period,"period, periodx, periodz, myperiod, menses, menstrual, menstruation, menstration, menstruate, menstrate, menstral, menstrating, menstriation, menstruration, menstruction",,
mention,20,,,,
painkiller,20,,,,
pelvic,20,,,,
pm,20,,,,
power,20,,,,
provide,20,,,,
relation,20,,,,
remember,20,,,,
say,20,,,,
seam,20,,,,
sickness,20,,,,
sing,20,,,,
syphillis,20,syphilis,,,
tend,20,,,,
testicle,20,,,,
think,20,,,,
accurate,19,,,,
anymore,19,,,,
aperson,19,,,,
attention,19,,,,
bungoma,19,,,,
continuously,19,,,,
diagnose,19,,,,
dysfunction,19,,,,
extend,19,,,,
failure,19,,,,
foetus,19,,,,
forward,19,,,,
head,19,,,,
hellow,19,,,,
herbal,19,,,,
hour,19,,,,
huawei,19,,,,
ligation,19,,,,
lump,19,,,,
myth,19,,,,
organization,19,,,,
pant,19,,,,
posible,19,,,,
productive,19,,,,
refer,19,,,,
sensation,19,,,,
september,19,,,,
shoot,19,,,,
someone's,19,,,,
starter,19,,,,
step,19,,,,
stick,19,,,,
sweat,19,,,,
unborn,19,,,,
usage,19,,,,
weekend,19,,,,
wow,19,,,,
aboy,18,boy,,,
alternative,18,,,,
appear,18,,,,
busy,18,,,,
centre,18,,,,
curable,18,,,,
december,18,,,,
disturb,18,,,,
explanation,18,,,,
eye,18,,,,
force,18,,,,
friday,18,,,,
knowledge,18,,,,
labour,18,,,,
like,18,,,,
march,18,,,,
name,18,,,,
natumia,18,,,,
nd,18,,,,
peel,18,,,,
permanent,18,,,,
post,18,,,,
program,18,,,,
prove,18,,,,
react,18,,,,
shape,18,,,,
sister,18,,,,
speak,18,,,,
spouse,18,,,,
teenage,18,,,,
tl,18,,,,
unable,18,,,,
waist,18,,,,
waste,18,,,,
wonder,18,,,,
ababy,17,baby,"baby, infant, baby's, ababy",,
action,17,,,,
angel,17,,,,
belly,17,,,,
circumstance,17,,,,
contraseptive,17,,,,
contribute,17,,,,
damage,17,,,,
discomfort,17,,,,
dryness,17,,,,
effectiveness,17,,,,
everytime,17,,,,
mimba,17,,,,
prescribe,17,,,,
professional,17,,,,
risky,17,,,,
saturday,17,,,,
scrotum,17,,,,
sensitive,17,,,,
sindano,17,,,,
stomachache,17,,,,
stretch,17,,,,
suggest,17,,,,
suit,17,,,,
tight,17,,,,
transmission,17,,,,
urge,17,,,,
viagra,17,,,,
west,17,,,,
addiction,16,,,,
adviced,16,advice,,,
aware,16,,,,
becouse,16,,,,
block,16,,,,
clitoris,16,,,,
continuous,16,,,,
dec,16,,,,
direct,16,,,,
elaborate,16,,,,
epill,16,emergency pills,"emergency pills, epills, epill",,
humble,16,,,,
kidney,16,,,,
liquid,16,,,,
location,16,,,,
massage,16,,,,
mimi,16,,,,
november,16,,,,
public,16,,,,
purpose,16,,,,
rest,16,,,,
return,16,,,,
role,16,,,,
scan,16,,,,
stain,16,,,,
victim,16,,,,
wich,16,,,,
ahead,15,,,,
allergic,15,,,,
bill,15,,,,
bye,15,,,,
calendar,15,,,,
cell,15,,,,
complete,15,,,,
diaphragm,15,,,,
discourage,15,,,,
disorder,15,,,,
dose,15,,,,
doubt,15,,,,
drop,15,,,,
encourage,15,,,,
energy,15,,,,
fiancee,15,,,,
guess,15,,,,
heavily,15,,,,
hip,15,,,,
hubby,15,,,,
inactive,15,,,,
katakana,15,,,,
kutumia,15,,,,
lip,15,,,,
mess,15,,,,
operate,15,,,,
pee,15,,,,
pennis,15,,,,
performance,15,,,,
pick,15,,,,
pregnat,15,,,,
press,15,,,,
probability,15,,,,
proper,15,,,,
ps,15,,,,
read,15,,,,
recur,15,,,,
regain,15,,,,
repeat,15,,,,
seduce,15,,,,
